relative_path,has_digital,baseline_error_type
eight/eight_clocks/clocks_eight_000.png,0,exact
eight/eight_clocks/clocks_eight_001.png,0,under
eight/eight_clocks/clocks_eight_002.png,0,exact
eight/eight_clocks/clocks_eight_003.png,0,exact
eight/eight_clocks/clocks_eight_004.png,0,exact
eight/eight_clocks/clocks_eight_005.png,1,exact
eight/eight_clocks/clocks_eight_006.png,0,exact
eight/eight_clocks/clocks_eight_007.png,1,exact
eight/eight_clocks/clocks_eight_008.png,0,exact
eight/eight_clocks/clocks_eight_009.png,0,exact
eight/eight_clocks/clocks_eight_010.png,0,exact
eight/eight_clocks/clocks_eight_011.png,0,exact
eight/eight_clocks/clocks_eight_012.png,1,exact
eight/eight_clocks/clocks_eight_013.png,1,under
eight/eight_clocks/clocks_eight_014.png,0,exact
eight/eight_clocks/clocks_eight_015.png,1,under
eight/eight_clocks/clocks_eight_016.png,0,exact
eight/eight_clocks/clocks_eight_017.png,0,exact
eight/eight_clocks/clocks_eight_018.png,0,exact
eight/eight_clocks/clocks_eight_019.png,1,exact
eight/eight_clocks/clocks_eight_020.png,0,exact
eight/eight_clocks/clocks_eight_021.png,0,exact
eight/eight_clocks/clocks_eight_022.png,0,exact
eight/eight_clocks/clocks_eight_023.png,0,exact
eight/eight_clocks/clocks_eight_024.png,0,exact
eight/eight_clocks/clocks_eight_025.png,1,exact
eight/eight_clocks/clocks_eight_026.png,1,exact
eight/eight_clocks/clocks_eight_027.png,1,exact
eight/eight_clocks/clocks_eight_028.png,1,exact
eight/eight_clocks/clocks_eight_029.png,0,exact
eight/eight_clocks/clocks_eight_030.png,0,exact
eight/eight_clocks/clocks_eight_031.png,0,exact
eight/eight_clocks/clocks_eight_032.png,0,exact
eight/eight_clocks/clocks_eight_033.png,1,under
eight/eight_clocks/clocks_eight_034.png,0,exact
eight/eight_clocks/clocks_eight_035.png,1,under
eight/eight_clocks/clocks_eight_036.png,0,exact
eight/eight_clocks/clocks_eight_037.png,0,exact
eight/eight_clocks/clocks_eight_038.png,1,exact
eight/eight_clocks/clocks_eight_039.png,0,exact
eight/eight_clocks/clocks_eight_040.png,0,exact
eight/eight_clocks/clocks_eight_041.png,0,exact
eight/eight_clocks/clocks_eight_042.png,0,exact
eight/eight_clocks/clocks_eight_043.png,0,exact
eight/eight_clocks/clocks_eight_044.png,0,exact
eight/eight_clocks/clocks_eight_045.png,1,under
eight/eight_clocks/clocks_eight_046.png,0,exact
eight/eight_clocks/clocks_eight_047.png,0,exact
eight/eight_clocks/clocks_eight_048.png,0,exact
eight/eight_clocks/clocks_eight_049.png,0,exact
five/five_clocks/clocks_five_000.png,0,exact
five/five_clocks/clocks_five_001.png,0,exact
five/five_clocks/clocks_five_002.png,1,under
five/five_clocks/clocks_five_003.png,0,exact
five/five_clocks/clocks_five_004.png,0,exact
five/five_clocks/clocks_five_005.png,1,exact
five/five_clocks/clocks_five_006.png,0,exact
five/five_clocks/clocks_five_007.png,0,exact
five/five_clocks/clocks_five_008.png,0,exact
five/five_clocks/clocks_five_009.png,1,exact
five/five_clocks/clocks_five_010.png,0,exact
five/five_clocks/clocks_five_011.png,0,exact
five/five_clocks/clocks_five_012.png,0,exact
five/five_clocks/clocks_five_013.png,0,exact
five/five_clocks/clocks_five_014.png,0,exact
five/five_clocks/clocks_five_015.png,0,exact
five/five_clocks/clocks_five_016.png,0,exact
five/five_clocks/clocks_five_017.png,0,exact
five/five_clocks/clocks_five_018.png,0,exact
five/five_clocks/clocks_five_019.png,0,exact
five/five_clocks/clocks_five_020.png,1,under
five/five_clocks/clocks_five_021.png,0,exact
five/five_clocks/clocks_five_022.png,0,exact
five/five_clocks/clocks_five_023.png,0,exact
five/five_clocks/clocks_five_024.png,0,exact
five/five_clocks/clocks_five_025.png,0,exact
five/five_clocks/clocks_five_026.png,0,exact
five/five_clocks/clocks_five_027.png,0,exact
five/five_clocks/clocks_five_028.png,1,under
five/five_clocks/clocks_five_029.png,0,exact
five/five_clocks/clocks_five_030.png,0,exact
five/five_clocks/clocks_five_031.png,0,exact
five/five_clocks/clocks_five_032.png,1,exact
five/five_clocks/clocks_five_033.png,0,exact
five/five_clocks/clocks_five_034.png,1,under
five/five_clocks/clocks_five_035.png,0,exact
five/five_clocks/clocks_five_036.png,0,exact
five/five_clocks/clocks_five_037.png,0,exact
five/five_clocks/clocks_five_038.png,0,exact
five/five_clocks/clocks_five_039.png,0,exact
five/five_clocks/clocks_five_040.png,0,exact
five/five_clocks/clocks_five_041.png,0,exact
five/five_clocks/clocks_five_042.png,0,exact
five/five_clocks/clocks_five_043.png,0,exact
five/five_clocks/clocks_five_044.png,0,exact
five/five_clocks/clocks_five_045.png,0,exact
five/five_clocks/clocks_five_046.png,0,exact
