split,failure_type,gt_count,relative_path
discovery,digital_miss,5,five/five_clocks/clocks_five_002.png
discovery,digital_miss,6,six/six_clocks/clocks_six_002.png
discovery,digital_miss,6,six/six_clocks/clocks_six_017.png
discovery,digital_miss,7,seven/seven_clocks/clocks_seven_007.png
discovery,digital_miss,8,eight/eight_clocks/clocks_eight_013.png
discovery,digital_miss,9,nine/nine_clocks/clocks_nine_000.png
discovery,atypical_shape_miss,8,eight/eight_clocks/clocks_eight_001.png
discovery,duplicate_overcount,2,two/two_clocks/clocks_two_007.png
discovery,duplicate_overcount,3,three/three_clocks/clocks_three_039.png
discovery,digital_success,2,two/two_clocks/clocks_two_019.png
discovery,digital_success,4,four/four_clocks/clocks_four_025.png
discovery,analog_success,2,two/two_clocks/clocks_two_000.png
discovery,analog_success,6,six/six_clocks/clocks_six_000.png
heldout,digital_miss,5,five/five_clocks/clocks_five_020.png
heldout,digital_miss,6,six/six_clocks/clocks_six_024.png
heldout,digital_miss,6,six/six_clocks/clocks_six_031.png
heldout,digital_miss,7,seven/seven_clocks/clocks_seven_016.png
heldout,digital_miss,8,eight/eight_clocks/clocks_eight_035.png
heldout,digital_miss,9,nine/nine_clocks/clocks_nine_034.png
heldout,duplicate_overcount,2,two/two_clocks/clocks_two_017.png
heldout,duplicate_overcount,2,two/two_clocks/clocks_two_039.png
heldout,digital_success,5,five/five_clocks/clocks_five_009.png
heldout,digital_success,6,six/six_clocks/clocks_six_021.png
heldout,analog_success,3,three/three_clocks/clocks_three_000.png
heldout,analog_success,9,nine/nine_clocks/clocks_nine_001.png
